AccelForward (m/s²),AccelLateral (m/s²),AccelDown (m/s²),AngleRateForward (deg/s),AngleRateLateral (deg/s),AngleRateDown (deg/s)
2.53,0.061,-9.786,0.043,1.376,0.218
2.469,0.051,-9.777,0.221,1.038,0.277
2.547,0.103,-9.975,-0.307,0.827,0.576
2.507,0.098,-9.947,-0.165,1.208,0.668
2.415,0.029,-9.895,0.281,1.19,0.138
2.529,0.057,-9.952,0.179,1.154,0.119
2.524,0.145,-9.863,-0.208,1.312,0.274
2.493,-0.004,-9.979,0.399,1.113,0.128
2.599,0.036,-9.892,0.232,1.363,0.084
2.538,0.182,-9.787,-0.479,1.211,0.045
2.492,-0.067,-10.026,0.735,0.614,-0.095
2.601,-0.073,-9.897,0.354,0.577,0.125
2.508,0.156,-9.835,-0.497,0.851,0.306
2.531,-0.011,-9.948,0.674,0.821,0.103
2.651,-0.09,-9.889,0.463,0.658,0.066
2.547,0.126,-9.78,-0.841,0.511,0.05
2.489,0.013,-9.869,-0.263,0.401,0.309
2.52,-0.159,-9.827,0.463,0.702,0.601
2.491,-0.007,-9.813,-0.444,0.707,0.32
2.529,0.12,-9.853,-0.771,0.456,0.25
2.598,0.058,-9.718,-0.046,0.418,0.165
2.454,-0.114,-9.788,0.743,0.025,0.218
2.427,-0.084,-9.635,0.232,0.133,0.504
2.56,0.178,-9.649,-0.739,0.337,0.337
2.473,0.052,-9.797,0.455,0.017,0.161
2.404,-0.134,-9.481,1.344,0.04,0.347
2.476,0.129,-9.635,-0.239,0.236,0.589
